market_key,symbol,company,industry,source_category,source_view,source_layout_suggestion,source_holding_suggestion,pei_recommendation_label,pei_recommendation_label_zh,current_price,price_currency,price_as_of,research_status,difference_type,difference_reason
tw,2303,聯電,晶圓代工,現在可以買名單,偏多,可納入成熟製程循環回升的 PEI 研究池,研究觀察,Watch only,僅觀察,171.0,TWD,2026-06-23 00:00:00+08:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
tw,3532,台勝科,矽晶圓,現在可以買名單,偏多,以 8 吋晶圓價格與月營收驗證,研究觀察,Watch only,僅觀察,376.5,TWD,2026-06-23 00:00:00+08:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
tw,5347,世界先進,晶圓代工,現在可以買名單,偏多,可納入成熟製程報價回升研究池,研究觀察,Watch only,僅觀察,186.0,TWD,2026-06-23 00:00:00+08:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
tw,6488,環球晶,矽晶圓,現在可以買名單,偏多,以報價回升作為分批研究條件,研究觀察,Watch only,僅觀察,1020.0,TWD,2026-06-23 00:00:00+08:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
us,IBM,IBM,資訊科技 / 量子計算,現在可以買名單,偏多,僅作政策題材研究池，不以短線追價,研究觀察,Watch only,僅觀察,252.22,USD,2026-06-22 00:00:00-04:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
us,INTC,Intel,半導體,現在可以買名單,偏多,僅限小量分批研究觀察；後續交由 PEI 驗證估值,研究觀察,Watch only,僅觀察,140.94,USD,2026-06-22 00:00:00-04:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
us,SNDK,SanDisk,記憶體,現在可以買名單,偏多,納入記憶體與 3D NAND 題材研究池,研究觀察,Watch only,僅觀察,2273.73,USD,2026-06-22 00:00:00-04:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
us,UMC,United Microelectronics ADR,晶圓代工,現在可以買名單,偏多,可納入成熟製程循環回升的 PEI 研究池,研究觀察,Watch only,僅觀察,27.5,USD,2026-06-22 00:00:00-04:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
tw,2302,麗正,分離式元件,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,45.45,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,2342,茂矽,半導體,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,57.0,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,2351,順德,導線架 / 分離式元件,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,195.5,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,2481,強茂,分離式元件,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,193.5,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,3016,嘉晶,矽晶圓 / 化合物半導體,現在不能買，但值得等買點名單,不建議追高,等拉回支撐並設定停損,空手等待,Wait for trigger,等待觸發,152.5,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,3257,虹冠電,分離式元件,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,73.9,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,3338,泰碩,散熱,現在不能買，但值得等買點名單,中性觀察,等實質營收年增率上升,空手等待,Wait for trigger,等待觸發,74.7,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,3675,德微,分離式元件,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,445.5,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,4923,力士,分離式元件,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,64.0,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,5285,界霖,導線架 / 半導體材料,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,100.0,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,5299,杰力,分離式元件,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,129.0,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,5425,台半,分離式元件,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,133.5,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,6182,合晶,矽晶圓 / 化合物半導體,現在不能買，但值得等買點名單,不建議追高,等拉回支撐並設定停損,空手等待,Wait for trigger,等待觸發,113.5,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,6435,大中,MOSFET,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,359.0,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,6525,捷敏-KY,半導體封測,現在不能買，但值得等買點名單,偏多,等拉回支撐與籌碼轉買再研究,空手等待 / 續抱者嚴守風控,Wait for trigger,等待觸發,170.5,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,6573,虹揚-KY,分離式元件,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,19.55,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,6651,全宇昕,分離式元件,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,153.5,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,6693,廣閎科,分離式元件,現在不能買，但值得等買點名單,不建議追高,等拉回 5 日或 10 日均線、量能不失控再研究,空手等待,Wait for trigger,等待觸發,238.0,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,7712,博盛半導體,分離式元件,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,199.0,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,7768,頌勝科技,半導體研磨墊,現在不能買，但值得等買點名單,中性觀察,agent 校正代號；先等成交量與產能驗證,少量研究觀察,Wait for trigger,等待觸發,360.5,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,7788,松川精密,繼電器,現在不能買，但值得等買點名單,偏多,等 10 日線附近支撐確認,空手等待 / 續抱者觀察,Wait for trigger,等待觸發,281.0,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,8162,微矽電子-創,分離式元件,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,81.9,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,8255,朋程,車用 / 功率元件,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,200.5,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,8261,富鼎,分離式元件,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,260.0,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
us,GETY,Getty Images,影像內容 / 版權,現在不能買，但值得等買點名單,不建議追高,等 OpenAI 授權題材激情消退,空手等待,Wait for trigger,等待觸發,1.15,USD,2026-06-22 00:00:00-04:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
us,META,Meta,社群 / AI,現在不能買，但值得等買點名單,中性觀察,等 1-2 季利潤率驗證,觀望,Wait for trigger,等待觸發,563.85,USD,2026-06-22 00:00:00-04:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
us,MSFT,Microsoft,雲端 / 軟體,現在不能買，但值得等買點名單,中性觀察,等估值消化與折舊壓力明朗,觀望,Wait for trigger,等待觸發,367.34,USD,2026-06-22 00:00:00-04:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
us,MU,Micron,記憶體,現在不能買，但值得等買點名單,中性觀察,等市場擁擠度降溫與財報驗證,空手等待,Wait for trigger,等待觸發,1211.38,USD,2026-06-22 00:00:00-04:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
us,NVDA,NVIDIA,半導體設計,現在不能買，但值得等買點名單,中性觀察,等總體流動性與發債用途明朗,觀望,Wait for trigger,等待觸發,208.65,USD,2026-06-22 00:00:00-04:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
